time,proc,dim_x,dim_y,solver,prec
100.116,128,160,128,1,1
95.802,64,128,80,1,1
79.5449,32,80,64,1,1
80.6729,32,80,64,1,1
79.0111,32,80,64,1,1
79.4228,32,80,64,1,1
67.011,16,64,40,1,1
66.8136,16,64,40,1,1
67.0217,16,64,40,1,1
67.7647,8,40,32,1,1
68.4449,8,40,32,1,1
68.8235,8,40,32,1,1
62.7506,4,32,20,1,1
62.512,4,32,20,1,1
62.4894,4,32,20,1,1
57.3039,2,20,16,1,1
58.2289,2,20,16,1,1
57.4437,2,20,16,1,1
56.2543,1,16,10,1,1
57.6049,1,16,10,1,1
56.6467,1,16,10,1,1
